ID_Ticket,Fecha,Dia_Semana,Hora_Dia,Monto_Total,Cantidad_Items,Para_Llevar,Tiempo_Permanencia_Min,Metodo_Pago
T0001,2026-06-01,1,9,16.5,3,1,2.0,Tarjeta
T0002,2026-06-01,1,10,13.3,2,0,11.0,Efectivo
T0003,2026-06-01,1,12,14.0,1,0,32.0,Plin
T0004,2026-06-01,1,12,36.9,4,0,13.0,Plin
T0005,2026-06-01,1,12,9.4,2,0,15.0,Yape
T0006,2026-06-01,1,12,28.3,3,0,53.0,Efectivo
T0007,2026-06-01,1,13,31.9,4,0,24.0,Plin
T0008,2026-06-01,1,13,32.8,4,0,47.0,Efectivo
T0009,2026-06-01,1,13,31.3,4,0,57.0,Yape
T0010,2026-06-01,1,14,39.4,4,0,43.0,Yape
T0011,2026-06-01,1,21,119.0,6,1,14.0,Plin
T0012,2026-06-02,2,8,13.3,2,1,4.0,Plin
T0013,2026-06-02,2,8,13.4,2,1,3.0,Tarjeta
T0014,2026-06-02,2,9,16.2,1,0,24.0,Efectivo
T0015,2026-06-02,2,9,16.0,1,1,3.0,Tarjeta
T0016,2026-06-02,2,10,21.4,2,0,22.0,Efectivo
T0017,2026-06-02,2,12,41.7,2,1,3.0,Plin
T0018,2026-06-02,2,12,35.3,3,0,45.0,Yape
T0019,2026-06-02,2,13,45.7,3,0,44.0,Tarjeta
T0020,2026-06-02,2,14,39.0,4,0,42.0,Yape
T0021,2026-06-02,2,14,35.2,3,0,49.0,Tarjeta
T0022,2026-06-02,2,14,32.1,4,0,42.0,Yape
T0023,2026-06-02,2,15,63.0,2,0,28.0,Yape
T0024,2026-06-02,2,16,11.6,2,1,4.0,Efectivo
T0025,2026-06-02,2,17,15.4,1,0,25.0,Tarjeta
T0026,2026-06-02,2,17,11.2,2,1,4.0,Efectivo
T0027,2026-06-02,2,17,13.6,1,0,32.0,Yape
T0028,2026-06-02,2,17,12.4,1,1,3.0,Efectivo
T0029,2026-06-02,2,20,73.2,8,0,73.0,Plin
T0030,2026-06-03,3,7,11.4,3,1,2.0,Efectivo
T0031,2026-06-03,3,7,17.1,2,0,21.0,Yape
T0032,2026-06-03,3,8,14.3,2,1,5.0,Efectivo
T0033,2026-06-03,3,8,16.4,3,0,20.0,Yape
T0034,2026-06-03,3,9,14.0,2,1,3.0,Yape
T0035,2026-06-03,3,9,14.0,1,1,4.0,Efectivo
T0036,2026-06-03,3,10,13.9,3,1,4.0,Plin
T0037,2026-06-03,3,12,41.6,3,1,5.0,Efectivo
T0038,2026-06-03,3,12,33.8,4,0,41.0,Plin
T0039,2026-06-03,3,12,27.0,4,1,7.0,Efectivo
T0040,2026-06-03,3,12,27.9,2,1,10.0,Yape
T0041,2026-06-03,3,14,35.0,4,0,39.0,Efectivo
T0042,2026-06-03,3,16,7.6,1,0,38.0,Efectivo
T0043,2026-06-03,3,17,15.5,1,0,26.0,Efectivo
T0044,2026-06-03,3,17,7.7,1,1,5.0,Tarjeta
T0044,2026-06-03,3,17,7.7,1,1,5.0,Tarjeta
T0045,2026-06-03,3,17,5.7,1,1,4.0,Efectivo
T0046,2026-06-03,3,18,6.2,1,0,26.0,Yape
T0047,2026-06-04,4,7,17.6,1,0,17.0,Yape
T0048,2026-06-04,4,8,16.4,2,0,26.0,Efectivo
T0049,2026-06-04,4,9,15.2,2,1,4.0,Efectivo
T0050,2026-06-04,4,9,13.2,1,0,28.0,Efectivo
T0051,2026-06-04,4,10,18.8,2,1,2.0,Efectivo
T0052,2026-06-04,4,12,34.8,2,0,51.0,Efectivo
T0053,2026-06-04,4,12,32.9,3,0,36.0,Efectivo
T0054,2026-06-04,4,13,32.2,3,0,25.0,Efectivo
T0055,2026-06-04,4,13,31.3,3,0,39.0,Efectivo
T0056,2026-06-04,4,13,33.9,3,0,47.0,Yape
T0057,2026-06-04,4,15,10.6,1,0,33.0,Efectivo
T0058,2026-06-04,4,16,7.5,2,0,27.0,Plin
T0059,2026-06-04,4,16,8.7,2,0,43.0,Efectivo
T0060,2026-06-04,4,17,9.1,2,0,26.0,Efectivo
T0061,2026-06-04,4,18,14.2,2,0,20.0,Efectivo
T0061,2026-06-04,4,18,14.2,2,0,20.0,Efectivo
T0062,2026-06-04,4,18,7.4,1,1,,Efectivo
T0063,2026-06-05,5,8,16.1,3,0,32.0,Efectivo
T0064,2026-06-05,5,8,18.9,2,0,21.0,Efectivo
T0065,2026-06-05,5,9,9.7,1,1,6.0,Yape
T0066,2026-06-05,5,9,19.7,3,0,32.0,Efectivo
T0067,2026-06-05,5,12,35.0,3,0,50.0,Tarjeta
T0068,2026-06-05,5,12,32.4,3,1,5.0,Efectivo
T0069,2026-06-05,5,12,24.2,2,1,,Plin
T0070,2026-06-05,5,13,31.6,3,0,50.0,Yape
T0071,2026-06-05,5,13,31.1,4,1,6.0,Yape
T0072,2026-06-05,5,15,5.8,2,0,34.0,Plin
T0073,2026-06-05,5,16,9.3,1,0,20.0,Efectivo
T0074,2026-06-05,5,16,8.6,2,0,17.0,Efectivo
T0075,2026-06-05,5,16,10.7,2,0,13.0,Tarjeta
T0076,2026-06-05,5,16,14.3,2,0,19.0,Efectivo
T0077,2026-06-05,5,17,16.4,2,1,5.0,Efectivo
T0078,2026-06-05,5,17,6.9,1,0,28.0,Efectivo
T0079,2026-06-05,5,18,9.3,2,1,5.0,Plin
T0080,2026-06-05,5,19,114.4,4,0,76.0,Efectivo
T0081,2026-06-05,5,20,68.8,4,0,102.0,Efectivo
T0082,2026-06-05,5,20,75.4,9,0,77.0,Yape
T0083,2026-06-05,5,21,75.2,6,0,72.0,
T0084,2026-06-05,5,21,82.8,7,0,53.0,Tarjeta
T0085,2026-06-06,6,10,22.3,2,0,8.0,Yape
T0086,2026-06-06,6,14,36.2,4,0,,Plin
T0087,2026-06-06,6,16,13.8,1,0,32.0,Efectivo
T0088,2026-06-06,6,16,14.2,2,0,42.0,Efectivo
T0089,2026-06-06,6,17,8.5,1,0,33.0,Yape
T0090,2026-06-06,6,17,12.6,2,0,43.0,Efectivo
T0091,2026-06-06,6,17,9.9,2,0,,Yape
T0092,2026-06-06,6,19,107.7,9,0,81.0,Tarjeta
T0093,2026-06-06,6,19,78.2,8,0,69.0,Yape
T0094,2026-06-06,6,20,66.4,8,0,67.0,Yape
T0095,2026-06-06,6,20,85.9,5,0,70.0,Tarjeta
T0096,2026-06-06,6,21,99.8,7,0,41.0,Plin
T0097,2026-06-06,6,22,92.1,7,0,63.0,Tarjeta
T0098,2026-06-06,6,22,62.7,6,0,53.0,Plin
T0099,2026-06-07,7,13,40.0,3,0,33.0,Plin
T0100,2026-06-07,7,16,15.0,1,0,31.0,Yape
T0101,2026-06-07,7,16,8.4,1,0,31.0,Efectivo
T0102,2026-06-07,7,17,7.7,2,0,31.0,Efectivo
T0103,2026-06-07,7,20,75.5,6,0,72.0,Plin
T0104,2026-06-07,7,20,101.5,6,0,50.0,Efectivo
T0105,2026-06-07,7,20,107.8,5,0,58.0,Tarjeta
T0106,2026-06-07,7,20,56.6,8,0,68.0,Tarjeta
T0107,2026-06-07,7,21,96.3,5,0,87.0,Yape
T0108,2026-06-07,7,21,124.9,4,0,84.0,Efectivo
T0109,2026-06-07,7,21,87.5,8,0,70.0,Plin
T0110,2026-06-07,7,21,94.2,6,0,64.0,Tarjeta
T0111,2026-06-07,7,22,79.8,9,0,76.0,Yape
T0112,2026-06-08,1,7,17.6,2,1,5.0,Efectivo
T0113,2026-06-08,1,8,9.0,1,1,3.0,Efectivo
T0114,2026-06-08,1,8,15.5,1,0,15.0,Yape
T0115,2026-06-08,1,9,17.1,2,1,6.0,Yape
T0116,2026-06-08,1,13,29.3,3,0,36.0,Tarjeta
T0117,2026-06-08,1,14,24.6,4,1,6.0,Plin
T0118,2026-06-08,1,14,28.4,4,1,5.0,Tarjeta
T0118,2026-06-08,1,14,28.4,4,1,5.0,Tarjeta
T0119,2026-06-08,1,14,34.1,4,1,9.0,Yape
T0120,2026-06-08,1,15,11.8,1,0,33.0,Yape
